Team,Ranking,Year
Ireland,7.450,2019
Finland,7.275,2019
Iceland,7.250,2019
Bosnia-Herzegovina,7.125,2019
Lithuania,6.750,2019
Latvia,5.625,2019
Luxembourg,5.500,2019
Armenia,5.250,2019
Malta,5.125,2019
Estonia,5.000,2019
Georgia,4.750,2019
Wales,4.125,2019
Montenegro,4.125,2019
Faroe Islands,4.000,2019
Gibraltar,4.000,2019
Northern Ireland,3.875,2019
Kosovo,2.500,2019
Andorra,1.831,2019
San Marino,0.666,2019
Spain,102.283,2020
England,90.462,2020
Germany,74.784,2020
Italy,70.653,2020
France,59.248,2020
Portugal,49.449,2020
Russia,45.549,2020
Belgium,37.900,2020
Ukraine,36.100,2020
Netherlands,35.750,2020
Turkey,33.600,2020
Austria,32.925,2020
Denmark,29.250,2020
Scotland,27.875,2020
Czech Republic,27.300,2020
Cyprus,26.750,2020
Switzerland,26.400,2020
Greece,26.300,2020
Serbia,25.500,2020
Croatia,24.875,2020
Sweden,22.750,2020
Norway,21.750,2020
Israel,19.625,2020
Kazakhstan,19.250,2020
Belarus,18.875,2020
Azerbaijan,18.750,2020
Bulgaria,17.375,2020
Romania,16.700,2020
Poland,16.625,2020
Slovakia,15.875,2020
Liechtenstein,13.500,2020
Slovenia,13.000,2020
Hungary,12.875,2020
Luxembourg,8.000,2020
Lithuania,7.875,2020
Armenia,7.625,2020
Latvia,7.625,2020
Albania,7.375,2020
North Macedonia,7.375,2020
Bosnia-Herzegovina,6.875,2020
Moldova,6.750,2020
Ireland,6.700,2020
Finland,6.500,2020
Georgia,5.750,2020
Malta,5.750,2020
Iceland,5.375,2020
Wales,5.000,2020
Northern Ireland,4.875,2020
Gibraltar,4.750,2020
Montenegro,4.375,2020
Estonia,4.375,2020
Kosovo,4.000,2020
Faroe Islands,3.750,2020
Andorra,2.831,2020
San Marino,0.666,2020
England,100.569,2021
Spain,97.855,2021
Italy,75.438,2021
Germany,73.570,2021
France,56.081,2021
Portugal,48.549,2021
Netherlands,39.200,2021
Russia,38.382,2021
Belgium,36.500,2021
Austria,35.825,2021
Scotland,33.375,2021
Ukraine,33.100,2021
Turkey,30.100,2021
Denmark,27.875,2021
Cyprus,27.750,2021
Serbia,26.750,2021
Czech Republic,26.600,2021
Croatia,26.275,2021
Switzerland,26.225,2021
Greece,26.000,2021
Israel,24.375,2021
Norway,21.000,2021
Sweden,20.500,2021
Bulgaria,20.375,2021
Romania,18.200,2021
Azerbaijan,16.875,2021
Kazakhstan,15.625,2021
Hungary,15.500,2021
Belarus,15.250,2021
Poland,15.125,2021
Slovenia,14.250,2021
Slovakia,13.625,2021
Liechtenstein,9.000,2021
Lithuania,8.750,2021
Luxembourg,8.250,2021
Bosnia-Herzegovina,8.000,2021
Ireland,7.875,2021
North Macedonia,7.625,2021
Armenia,7.375,2021
Latvia,7.375,2021
Albania,7.250,2021
Northern Ireland,6.958,2021
Georgia,6.875,2021
Finland,6.875,2021
Moldova,6.875,2021
Malta,6.375,2021
Faroe Islands,6.125,2021
Kosovo,5.833,2021
Gibraltar,5.666,2021
Montenegro,5.000,2021
Wales,5.000,2021
Iceland,4.875,2021
Estonia,4.750,2021
Andorra,3.331,2021
San Marino,1.166,2021
England,106.641,2022
Spain,96.141,2022
Italy,76.902,2022
Germany,75.213,2022
France,60.081,2022
Portugal,53.382,2022
Netherlands,49.300,2022
Austria,38.850,2022
Scotland,36.900,2022
Russia,34.482,2022
Serbia,33.375,2022
Ukraine,31.800,2022
Belgium,30.600,2022
Switzerland,29.675,2022
Greece,28.200,2022
Czech Republic,27.800,2022
Norway,27.250,2022
Denmark,27.175,2022
Croatia,27.150,2022
Turkey,27.100,2022
Cyprus,26.375,2022
Israel,24.375,2022
Sweden,22.875,2022
Bulgaria,19.500,2022
Romania,17.150,2022
Azerbaijan,17.000,2022
Hungary,16.375,2022
Poland,15.875,2022
Kazakhstan,15.750,2022
Slovakia,15.625,2022
Slovenia,15.000,2022
Belarus,12.500,2022
Moldova,11.250,2022
Lithuania,10.000,2022
Bosnia-Herzegovina,9.125,2022
Finland,8.875,2022
Luxembourg,8.750,2022
Latvia,8.625,2022
Kosovo,8.166,2022
Ireland,8.125,2022
Armenia,8.125,2022
Northern Ireland,8.083,2022
Albania,8.000,2022
Faroe Islands,7.250,2022
Estonia,7.041,2022
Malta,7.000,2022
Georgia,7.000,2022
North Macedonia,7.000,2022
Liechtenstein,6.500,2022
Wales,5.500,2022
Gibraltar,5.416,2022
Iceland,5.375,2022
Montenegro,4.875,2022
Andorra,4.665,2022
San Marino,1.332,2022
England,109.570,2023
Spain,92.998,2023
Germany,82.481,2023
Italy,81.926,2023
France,61.164,2023
Netherlands,59.900,2023
Portugal,56.216,2023
Belgium,42.200,2023
Scotland,36.400,2023
Austria,34.000,2023
Serbia,32.375,2023
Turkey,32.100,2023
Switzerland,31.675,2023
Ukraine,29.500,2023
Czech Republic,29.050,2023
Norway,29.000,2023
Denmark,27.825,2023
Russia,26.215,2023
Croatia,25.400,2023
Greece,25.225,2023
Israel,25.000,2023
Cyprus,24.475,2023
Sweden,23.750,2023
Poland,20.750,2023
Hungary,20.625,2023
Romania,20.500,2023
Bulgaria,20.000,2023
Slovakia,19.750,2023
Azerbaijan,16.625,2023
Kazakhstan,12.625,2023
Slovenia,12.500,2023
Moldova,12.250,2023
Kosovo,11.041,2023
Liechtenstein,11.000,2023
Latvia,10.625,2023
Ireland,10.375,2023
Finland,10.250,2023
Lithuania,10.000,2023
Armenia,9.875,2023
Belarus,9.875,2023
Bosnia-Herzegovina,9.750,2023
Luxembourg,9.000,2023
Faroe Islands,8.750,2023
Northern Ireland,8.583,2023
Malta,8.250,2023
Georgia,8.000,2023
Estonia,7.582,2023
Iceland,7.250,2023
Albania,6.250,2023
Wales,6.166,2023
Gibraltar,5.791,2023
North Macedonia,5.500,2023
Andorra,5.165,2023
Montenegro,4.750,2023
San Marino,1.999,2023
England,104.303,2024
Italy,90.284,2024
Spain,89.489,2024
Germany,86.624,2024
France,66.831,2024
Netherlands,61.300,2024
Portugal,56.316,2024
Belgium,48.800,2024
Turkey,38.600,2024
Czech Republic,36.050,2024
Scotland,36.050,2024
Switzerland,32.975,2024
Austria,32.600,2024
Norway,31.625,2024
Greece,31.525,2024
Denmark,31.450,2024
Israel,31.125,2024
Ukraine,28.000,2024
Serbia,27.775,2024
Croatia,25.525,2024
Poland,25.375,2024
Russia,22.965,2024
Cyprus,22.100,2024
Hungary,21.875,2024
Sweden,21.500,2024
Romania,21.375,2024
Bulgaria,20.375,2024
Azerbaijan,20.125,2024
Slovakia,19.625,2024
Slovenia,13.250,2024
Moldova,13.125,2024
Kosovo,11.541,2024
Kazakhstan,11.500,2024
Finland,11.125,2024
Ireland,10.875,2024
Armenia,10.625,2024
Latvia,10.625,2024
Faroe Islands,10.375,2024
Bosnia-Herzegovina,10.000,2024
Liechtenstein,10.000,2024
Iceland,9.583,2024
Northern Ireland,9.208,2024
Luxembourg,8.625,2024
Lithuania,8.500,2024
Malta,8.250,2024
Georgia,7.625,2024
Albania,7.375,2024
Estonia,7.207,2024
Belarus,6.625,2024
North Macedonia,6.000,2024
Andorra,5.998,2024
Wales,5.791,2024
Montenegro,5.708,2024
Gibraltar,4.957,2024
San Marino,1.832,2024
