Team,Ranking,Year
Malta,4.000,1970
Finland,4.000,1970
Luxembourg,3.665,1970
Iceland,2.000,1970
Cyprus,1.000,1970
England,51.660,1971
Hungary,40.999,1971
Italy,40.094,1971
Scotland,36.499,1971
Germany,32.426,1971
Netherlands,31.300,1971
Poland,30.000,1971
Wales,29.000,1971
Spain,26.665,1971
East Germany,26.332,1971
Czechoslovakia,26.050,1971
Belgium,25.700,1971
Portugal,24.066,1971
Yugoslavia,19.799,1971
Bulgaria,17.416,1971
Soviet Union,15.000,1971
France,14.016,1971
Romania,14.000,1971
Turkey,13.666,1971
Austria,12.416,1971
Greece,11.249,1971
Switzerland,9.550,1971
Northern Ireland,9.415,1971
Denmark,8.583,1971
Sweden,6.999,1971
Norway,6.498,1971
Ireland,5.331,1971
Albania,5.000,1971
Finland,4.666,1971
Luxembourg,4.331,1971
Malta,3.333,1971
Iceland,2.000,1971
Cyprus,1.000,1971
England,53.431,1972
Hungary,41.666,1972
Italy,38.660,1972
Netherlands,35.200,1972
Scotland,34.499,1972
Germany,31.926,1972
Poland,30.500,1972
Wales,30.000,1972
Portugal,26.666,1972
Spain,26.165,1972
Belgium,25.500,1972
East Germany,23.666,1972
Czechoslovakia,22.550,1972
Yugoslavia,19.599,1972
Soviet Union,19.333,1972
Romania,17.250,1972
Turkey,15.332,1972
France,13.216,1972
Greece,12.583,1972
Austria,11.250,1972
Bulgaria,11.083,1972
Denmark,9.416,1972
Switzerland,8.800,1972
Sweden,8.166,1972
Norway,7.498,1972
Albania,5.500,1972
Northern Ireland,4.915,1972
Malta,4.833,1972
Finland,4.832,1972
Luxembourg,4.331,1972
Ireland,3.998,1972
Iceland,2.500,1972
Cyprus,1.000,1972
England,53.231,1973
Netherlands,41.200,1973
Italy,37.593,1973
Germany,35.331,1973
Hungary,34.500,1973
Scotland,31.599,1973
East Germany,28.666,1973
Poland,27.250,1973
Portugal,26.066,1973
Spain,24.699,1973
Belgium,24.200,1973
Wales,24.000,1973
Czechoslovakia,23.800,1973
Yugoslavia,20.799,1973
Soviet Union,19.083,1973
Romania,17.500,1973
Greece,15.000,1973
Turkey,14.332,1973
Bulgaria,13.500,1973
Sweden,10.916,1973
Austria,10.250,1973
Denmark,9.583,1973
France,9.266,1973
Albania,8.500,1973
Switzerland,8.300,1973
Norway,8.082,1973
Ireland,5.998,1973
Finland,5.832,1973
Malta,4.999,1973
Luxembourg,3.665,1973
Northern Ireland,3.582,1973
Iceland,1.833,1973
Cyprus,1.166,1973
England,54.279,1974
Netherlands,43.500,1974
Germany,39.664,1974
East Germany,35.916,1974
Italy,35.593,1974
Scotland,29.033,1974
Portugal,27.400,1974
Belgium,25.500,1974
Soviet Union,24.833,1974
Poland,24.000,1974
Wales,24.000,1974
Spain,23.233,1974
Yugoslavia,21.883,1974
Hungary,21.500,1974
Czechoslovakia,18.050,1974
Romania,18.000,1974
Bulgaria,17.750,1974
Greece,13.750,1974
Turkey,12.082,1974
France,11.850,1974
Switzerland,11.750,1974
Austria,9.750,1974
Sweden,8.916,1974
Denmark,7.833,1974
Norway,6.916,1974
Albania,6.500,1974
Northern Ireland,5.916,1974
Ireland,4.998,1974
Malta,3.999,1974
Finland,3.165,1974
Luxembourg,1.998,1974
Iceland,1.666,1974
Cyprus,1.499,1974
England,47.779,1975
Germany,46.331,1975
Netherlands,45.200,1975
Italy,32.765,1975
East Germany,30.916,1975
Soviet Union,30.333,1975
Yugoslavia,27.433,1975
Spain,26.633,1975
Scotland,25.033,1975
Portugal,24.900,1975
Hungary,24.750,1975
Czechoslovakia,21.250,1975
Belgium,21.050,1975
Poland,19.250,1975
Wales,18.000,1975
Romania,17.750,1975
Greece,15.250,1975
France,14.250,1975
Bulgaria,14.250,1975
Sweden,12.583,1975
Switzerland,12.250,1975
Austria,10.700,1975
Turkey,9.666,1975
Denmark,7.583,1975
Northern Ireland,5.999,1975
Albania,5.500,1975
Norway,5.416,1975
Ireland,4.665,1975
Malta,4.332,1975
Finland,4.331,1975
Iceland,1.999,1975
Cyprus,1.499,1975
Luxembourg,1.332,1975
Germany,48.950,1976
Netherlands,43.600,1976
England,43.570,1976
Soviet Union,35.633,1976
Italy,31.599,1976
East Germany,30.250,1976
Yugoslavia,29.100,1976
Hungary,26.500,1976
Portugal,26.150,1976
Spain,25.700,1976
Scotland,25.450,1976
Belgium,25.350,1976
Poland,19.750,1976
Czechoslovakia,19.500,1976
France,17.500,1976
Romania,16.750,1976
Bulgaria,16.500,1976
Wales,16.000,1976
Sweden,14.650,1976
Greece,13.500,1976
Switzerland,11.500,1976
Austria,10.450,1976
Turkey,8.666,1976
Denmark,6.333,1976
Norway,5.500,1976
Ireland,4.999,1976
Northern Ireland,4.333,1976
Malta,4.332,1976
Finland,4.331,1976
Albania,3.500,1976
Iceland,2.665,1976
Cyprus,1.999,1976
Luxembourg,0.666,1976
Germany,51.902,1977
England,41.999,1977
Netherlands,39.450,1977
Soviet Union,35.050,1977
Spain,32.200,1977
Italy,30.266,1977
East Germany,30.000,1977
Belgium,29.950,1977
Yugoslavia,26.750,1977
Hungary,24.900,1977
Portugal,23.200,1977
Czechoslovakia,21.500,1977
Poland,20.750,1977
France,18.800,1977
Bulgaria,18.500,1977
Scotland,18.100,1977
Wales,18.000,1977
Greece,16.000,1977
Switzerland,15.000,1977
Sweden,14.150,1977
Romania,11.300,1977
Austria,10.950,1977
Turkey,10.250,1977
Ireland,6.332,1977
Northern Ireland,5.666,1977
Denmark,5.500,1977
Finland,4.998,1977
Norway,4.000,1977
Cyprus,3.665,1977
Albania,3.000,1977
Malta,2.998,1977
Iceland,1.998,1977
Luxembourg,0.999,1977
Germany,48.783,1978
Netherlands,43.450,1978
England,38.332,1978
Belgium,37.700,1978
Soviet Union,34.800,1978
Spain,34.600,1978
East Germany,31.500,1978
Italy,26.266,1978
France,25.500,1978
Yugoslavia,25.000,1978
Hungary,23.150,1978
Portugal,22.250,1978
Czechoslovakia,19.250,1978
Poland,18.600,1978
Scotland,17.850,1978
Greece,17.250,1978
Switzerland,17.150,1978
Bulgaria,16.750,1978
Austria,15.700,1978
Wales,14.000,1978
Sweden,12.900,1978
Turkey,10.750,1978
Romania,10.300,1978
Denmark,6.750,1978
Northern Ireland,6.666,1978
Norway,5.750,1978
Ireland,4.999,1978
Finland,4.331,1978
Cyprus,3.332,1978
Malta,2.998,1978
Iceland,2.331,1978
Luxembourg,0.999,1978
Germany,52.617,1979
Netherlands,39.200,1979
Belgium,38.300,1979
England,38.141,1979
Spain,35.800,1979
Soviet Union,33.050,1979
Yugoslavia,28.250,1979
East Germany,26.650,1979
Italy,25.932,1979
France,24.250,1979
Hungary,22.650,1979
Czechoslovakia,21.500,1979
Poland,18.850,1979
Portugal,17.750,1979
Austria,17.700,1979
Switzerland,17.650,1979
Scotland,16.500,1979
Sweden,15.400,1979
Wales,15.000,1979
Greece,15.000,1979
Bulgaria,13.200,1979
Romania,10.800,1979
Turkey,10.000,1979
Denmark,7.750,1979
Ireland,7.332,1979
Norway,6.250,1979
Finland,5.498,1979
Northern Ireland,4.666,1979
Cyprus,3.999,1979
Malta,3.664,1979
Iceland,3.331,1979
Albania,2.000,1979
Luxembourg,1.666,1979
Germany,53.998,1980
England,38.426,1980
Belgium,37.300,1980
Spain,36.066,1980
Netherlands,35.250,1980
East Germany,29.400,1980
Soviet Union,28.050,1980
France,27.750,1980
Yugoslavia,26.000,1980
Italy,24.165,1980
Czechoslovakia,22.300,1980
Hungary,20.150,1980
Scotland,19.250,1980
Portugal,18.500,1980
Switzerland,18.400,1980
Wales,17.000,1980
Poland,16.850,1980
Austria,16.000,1980
Greece,15.750,1980
Bulgaria,15.450,1980
Sweden,14.150,1980
Romania,13.050,1980
Denmark,10.000,1980
Ireland,9.665,1980
Turkey,7.750,1980
Norway,6.500,1980
Cyprus,5.332,1980
Finland,3.832,1980
Luxembourg,3.666,1980
Northern Ireland,3.666,1980
Malta,3.664,1980
Iceland,3.664,1980
Albania,3.000,1980
Germany,52.284,1981
England,38.760,1981
Spain,36.999,1981
Netherlands,35.916,1981
Belgium,31.966,1981
France,30.250,1981
East Germany,28.600,1981
Soviet Union,27.050,1981
Italy,26.165,1981
Czechoslovakia,24.550,1981
Yugoslavia,24.300,1981
Switzerland,21.650,1981
Hungary,19.400,1981
Scotland,18.500,1981
Portugal,18.000,1981
Wales,17.000,1981
Bulgaria,16.950,1981
Greece,14.750,1981
Sweden,14.000,1981
Poland,13.850,1981
Austria,13.500,1981
Romania,13.300,1981
Denmark,13.000,1981
Ireland,8.665,1981
Turkey,7.750,1981
Norway,7.083,1981
Cyprus,4.998,1981
Northern Ireland,4.666,1981
Malta,3.997,1981
Luxembourg,3.666,1981
Albania,3.500,1981
Finland,3.499,1981
Iceland,3.331,1981
Germany,51.999,1982
England,37.902,1982
Netherlands,35.466,1982
Spain,34.599,1982
Belgium,31.066,1982
France,29.550,1982
East Germany,29.450,1982
Yugoslavia,28.800,1982
Soviet Union,25.966,1982
Czechoslovakia,24.050,1982
Switzerland,22.150,1982
Italy,22.082,1982
Portugal,21.750,1982
Scotland,21.750,1982
Sweden,19.500,1982
Romania,16.750,1982
Bulgaria,16.700,1982
Hungary,15.750,1982
Denmark,15.166,1982
Austria,13.750,1982
Wales,13.000,1982
Greece,12.500,1982
Poland,11.850,1982
Ireland,8.999,1982
Norway,7.583,1982
Albania,5.500,1982
Northern Ireland,4.999,1982
Turkey,4.833,1982
Cyprus,4.332,1982
Luxembourg,3.666,1982
Iceland,3.664,1982
Malta,3.331,1982
Finland,2.499,1982
Germany,54.118,1983
Spain,34.999,1983
England,34.426,1983
Yugoslavia,29.550,1983
Belgium,29.216,1983
Scotland,29.000,1983
Czechoslovakia,27.050,1983
France,26.450,1983
Portugal,26.250,1983
Netherlands,24.966,1983
Italy,24.549,1983
Soviet Union,23.666,1983
East Germany,23.500,1983
Switzerland,21.750,1983
Sweden,20.500,1983
Romania,20.000,1983
Wales,18.000,1983
Bulgaria,16.700,1983
Hungary,15.500,1983
Poland,15.250,1983
Denmark,13.749,1983
Austria,12.000,1983
Greece,10.500,1983
Ireland,9.665,1983
Albania,7.000,1983
Norway,6.249,1983
Turkey,5.333,1983
Cyprus,5.332,1983
Northern Ireland,4.665,1983
Finland,3.832,1983
Luxembourg,3.666,1983
Iceland,2.998,1983
Malta,2.665,1983
Germany,43.618,1984
England,37.950,1984
Spain,32.199,1984
Scotland,31.950,1984
Italy,31.633,1984
Belgium,31.616,1984
Portugal,31.250,1984
Yugoslavia,28.450,1984
Soviet Union,27.916,1984
France,27.250,1984
Czechoslovakia,25.550,1984
Netherlands,25.549,1984
East Germany,24.100,1984
Romania,21.416,1984
Switzerland,18.250,1984
Sweden,18.000,1984
Wales,17.000,1984
Bulgaria,16.750,1984
Austria,15.500,1984
Hungary,14.750,1984
Poland,13.250,1984
Greece,12.750,1984
Denmark,10.749,1984
Ireland,7.332,1984
Albania,7.000,1984
Turkey,5.333,1984
Norway,5.249,1984
Finland,4.998,1984
Cyprus,4.998,1984
Northern Ireland,3.998,1984
Luxembourg,2.666,1984
Iceland,2.331,1984
Malta,1.999,1984
England,41.093,1985
Italy,38.800,1985
Germany,37.070,1985
Soviet Union,33.916,1985
Belgium,33.266,1985
Scotland,30.400,1985
Portugal,30.250,1985
Spain,29.366,1985
Yugoslavia,27.550,1985
Czechoslovakia,23.550,1985
France,22.750,1985
East Germany,22.600,1985
Austria,22.500,1985
Netherlands,22.049,1985
Romania,19.916,1985
Switzerland,18.500,1985
Bulgaria,17.250,1985
Sweden,17.250,1985
Wales,17.000,1985
Greece,16.916,1985
Hungary,16.750,1985
Poland,14.750,1985
Denmark,9.249,1985
Ireland,6.332,1985
Albania,6.000,1985
Norway,5.999,1985
Turkey,5.333,1985
Finland,5.331,1985
Northern Ireland,4.998,1985
Cyprus,4.665,1985
Malta,1.999,1985
Iceland,1.998,1985
Luxembourg,1.332,1985
Italy,39.466,1986
Germany,37.332,1986
Soviet Union,36.516,1986
Belgium,34.500,1986
Spain,33.199,1986
England,33.093,1986
Scotland,31.200,1986
Yugoslavia,29.150,1986
Portugal,29.100,1986
Austria,26.500,1986
Romania,23.166,1986
Sweden,22.000,1986
Czechoslovakia,21.700,1986
East Germany,19.400,1986
France,18.200,1986
Switzerland,17.750,1986
Greece,16.666,1986
Hungary,16.500,1986
Netherlands,15.983,1986
Poland,14.500,1986
Bulgaria,13.166,1986
Wales,11.000,1986
Finland,9.664,1986
Denmark,8.249,1986
Albania,7.500,1986
Turkey,6.999,1986
Cyprus,5.999,1986
Norway,5.666,1986
Ireland,5.665,1986
Northern Ireland,5.331,1986
Iceland,3.665,1986
Malta,1.666,1986
Luxembourg,1.332,1986
Italy,41.716,1987
Soviet Union,37.250,1987
Germany,36.332,1987
Spain,32.999,1987
Scotland,32.700,1987
Portugal,31.100,1987
Belgium,30.800,1987
Austria,28.500,1987
England,25.951,1987
Yugoslavia,25.600,1987
Sweden,22.000,1987
Czechoslovakia,21.800,1987
Romania,21.416,1987
France,19.600,1987
Netherlands,19.433,1987
East Germany,18.800,1987
Wales,17.000,1987
Greece,16.666,1987
Hungary,16.500,1987
Switzerland,16.250,1987
Poland,16.250,1987
Bulgaria,12.666,1987
Finland,10.997,1987
Turkey,8.999,1987
Denmark,8.916,1987
Albania,7.833,1987
Cyprus,6.665,1987
Norway,5.999,1987
Northern Ireland,4.665,1987
Ireland,3.665,1987
Iceland,2.999,1987
Malta,1.666,1987
Luxembourg,0.999,1987
Italy,41.082,1988
Soviet Union,37.550,1988
Germany,36.165,1988
Spain,34.799,1988
Belgium,31.800,1988
Portugal,28.183,1988
Scotland,27.000,1988
Netherlands,26.633,1988
Austria,26.500,1988
France,23.200,1988
Yugoslavia,23.200,1988
England,22.094,1988
Sweden,21.500,1988
Czechoslovakia,21.300,1988
Romania,20.466,1988
East Germany,18.750,1988
Greece,17.916,1988
Hungary,17.500,1988
Switzerland,15.000,1988
Finland,13.664,1988
Wales,13.000,1988
Poland,12.750,1988
Bulgaria,11.916,1988
Denmark,10.916,1988
Albania,9.666,1988
Turkey,7.999,1988
Norway,6.666,1988
Cyprus,6.332,1988
Northern Ireland,4.999,1988
Iceland,3.999,1988
Ireland,2.665,1988
Malta,1.666,1988
Luxembourg,1.665,1988
Italy,42.498,1989
Germany,41.093,1989
Spain,40.999,1989
Soviet Union,31.966,1989
Belgium,30.833,1989
Netherlands,27.050,1989
Portugal,25.583,1989
Romania,25.050,1989
Scotland,24.800,1989
Sweden,23.100,1989
France,22.900,1989
Yugoslavia,22.800,1989
Austria,21.400,1989
East Germany,20.000,1989
Czechoslovakia,16.550,1989
Hungary,16.500,1989
Greece,16.416,1989
Switzerland,16.000,1989
Denmark,15.332,1989
Wales,15.000,1989
Finland,13.664,1989
Poland,13.250,1989
Bulgaria,12.916,1989
Turkey,11.665,1989
England,9.428,1989
Albania,8.666,1989
Norway,6.666,1989
Northern Ireland,5.666,1989
Cyprus,5.666,1989
Iceland,4.333,1989
Ireland,2.998,1989
Malta,2.666,1989
Luxembourg,1.665,1989
Germany,45.427,1990
Italy,43.212,1990
Spain,42.666,1990
Belgium,36.233,1990
Portugal,28.633,1990
France,28.100,1990
Soviet Union,26.966,1990
Netherlands,26.500,1990
Romania,26.300,1990
Scotland,24.800,1990
Sweden,22.600,1990
Yugoslavia,21.200,1990
Austria,20.500,1990
East Germany,19.250,1990
Switzerland,16.750,1990
Czechoslovakia,15.750,1990
Finland,14.581,1990
Wales,14.000,1990
Denmark,13.998,1990
Bulgaria,12.749,1990
Greece,12.250,1990
Hungary,12.250,1990
Poland,11.000,1990
Turkey,10.998,1990
Albania,10.666,1990
Norway,5.999,1990
Cyprus,5.666,1990
Northern Ireland,4.333,1990
Iceland,4.000,1990
Malta,1.999,1990
Luxembourg,1.332,1990
Ireland,1.332,1990
Italy,48.171,1991
Germany,43.594,1991
Spain,38.666,1991
France,34.650,1991
Belgium,34.433,1991
Portugal,29.633,1991
Netherlands,26.150,1991
Soviet Union,25.566,1991
Scotland,24.500,1991
Yugoslavia,24.466,1991
Romania,24.300,1991
Austria,21.000,1991
East Germany,19.000,1991
Sweden,17.600,1991
Denmark,15.748,1991
Wales,15.000,1991
Switzerland,15.000,1991
Czechoslovakia,14.600,1991
Poland,14.250,1991
Greece,13.000,1991
England,12.500,1991
Bulgaria,12.416,1991
Turkey,11.665,1991
Finland,10.415,1991
Hungary,10.250,1991
Albania,8.999,1991
Norway,5.999,1991
Cyprus,4.666,1991
Iceland,4.000,1991
Northern Ireland,3.666,1991
Ireland,1.999,1991
Luxembourg,1.998,1991
Malta,1.666,1991
Italy,52.837,1992
Germany,42.927,1992
Spain,40.266,1992
Belgium,37.633,1992
France,37.250,1992
Netherlands,27.500,1992
Portugal,27.033,1992
Yugoslavia,25.516,1992
Soviet Union,24.966,1992
Romania,24.550,1992
Czechoslovakia,20.000,1992
Scotland,19.750,1992
England,19.250,1992
Austria,18.000,1992
Denmark,16.665,1992
Greece,16.500,1992
East Germany,16.000,1992
Turkey,14.998,1992
Switzerland,14.750,1992
Poland,12.166,1992
Sweden,12.100,1992
Hungary,11.500,1992
Bulgaria,10.416,1992
Finland,9.999,1992
Wales,9.000,1992
Albania,7.666,1992
Iceland,5.000,1992
Norway,4.999,1992
Cyprus,4.000,1992
Northern Ireland,3.332,1992
Ireland,2.665,1992
Malta,1.999,1992
Luxembourg,1.665,1992
Italy,60.337,1993
France,40.450,1993
Germany,39.403,1993
Spain,37.132,1993
Belgium,36.833,1993
Russia,31.000,1993
Portugal,28.400,1993
Netherlands,25.900,1993
England,22.500,1993
Romania,22.150,1993
Czechoslovakia,19.750,1993
Scotland,19.750,1993
Turkey,18.748,1993
Austria,18.200,1993
Greece,17.250,1993
Denmark,16.082,1993
Switzerland,15.500,1993
Sweden,14.850,1993
Poland,12.166,1993
Bulgaria,10.666,1993
Hungary,9.666,1993
Wales,8.000,1993
Finland,6.666,1993
Israel,5.000,1993
Latvia,5.000,1993
Iceland,4.333,1993
Albania,4.333,1993
Ukraine,3.666,1993
Norway,3.666,1993
Cyprus,3.666,1993
Northern Ireland,3.332,1993
Ireland,2.665,1993
Malta,2.665,1993
Luxembourg,2.332,1993
Slovenia,2.000,1993
Faroe Islands,0.500,1993
Liechtenstein,0.000,1993
Lithuania,0.000,1993
Estonia,0.000,1993
Italy,62.313,1994
France,45.150,1994
Germany,41.641,1994
Belgium,36.400,1994
Spain,35.998,1994
Portugal,33.800,1994
Russia,32.500,1994
England,31.000,1994
Netherlands,24.250,1994
Austria,21.800,1994
Greece,19.500,1994
Turkey,18.832,1994
Scotland,17.750,1994
Switzerland,15.500,1994
Denmark,15.166,1994
Romania,15.100,1994
Sweden,13.000,1994
Poland,12.166,1994
Israel,10.500,1994
Bulgaria,9.166,1994
Hungary,8.416,1994
Norway,8.332,1994
Latvia,7.000,1994
Ukraine,6.999,1994
Iceland,6.666,1994
Finland,6.333,1994
Cyprus,6.332,1994
Wales,6.000,1994
Slovenia,4.333,1994
Albania,4.333,1994
Croatia,4.000,1994
Northern Ireland,3.998,1994
Ireland,3.665,1994
Malta,3.331,1994
Liechtenstein,3.000,1994
Georgia,3.000,1994
Slovakia,2.333,1994
Luxembourg,2.332,1994
Belarus,1.500,1994
Faroe Islands,1.500,1994
Czech Republic,1.000,1994
Moldova,1.000,1994
Estonia,0.500,1994
Lithuania,0.000,1994
Italy,63.884,1995
France,45.283,1995
Germany,40.307,1995
Spain,39.098,1995
England,38.333,1995
Portugal,34.000,1995
Russia,31.300,1995
Belgium,30.400,1995
Netherlands,28.450,1995
Turkey,23.749,1995
Austria,21.450,1995
Greece,20.500,1995
Denmark,20.000,1995
Sweden,18.000,1995
